nombre,descripcion,precio,categoria,marca,modelo,color,peso,dimensiones,material,garantia_meses,eficiencia_energetica,impacto_ambiental,puntuacion_eco,imagen_url,stock_inicial,stock_minimo,stock_maximo
"Laptop EcoTech Sustainability Pro","Laptop ultra eficiente con procesador de bajo consumo, fabricada con materiales reciclados. Ideal para trabajo profesional y diseño.",3299.00,"Electrónicos","EcoTech","Sustainability Pro","Gris Espacial",1.8,"35.6x23.7x1.9 cm","Aluminio reciclado",24,"A+++","Bajo",9.2,"https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400",25,5,100
"Smartphone Verde Max 5G","Teléfono inteligente con batería solar integrada y carcasa biodegradable. Tecnología 5G y cámara profesional.",1899.50,"Electrónicos","VerdeMax","5G Solar","Verde Bosque",0.18,"15.1x7.5x0.8 cm","Bioplástico",18,"A++","Bajo",8.8,"https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400",40,10,200
"Mochila Solar Explorer","Mochila con paneles solares incorporados para cargar dispositivos. Fabricada con botellas plásticas recicladas.",289.99,"Accesorios","SolarGear","Explorer X1","Negro",1.2,"45x30x15 cm","PET reciclado",12,"","Bajo",8.5,"https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400",60,15,300
"Auriculares Bamboo Wireless","Auriculares inalámbricos con cancelación de ruido, fabricados con bambú sostenible y biocomponentes.",199.00,"Electrónicos","EcoSound","Bamboo Pro","Marrón Natural",0.25,"18x16x8 cm","Bambú",12,"","Bajo",7.8,"https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400",50,10,150
"Cargador Solar Portátil 25W","Cargador solar plegable de alta eficiencia. Compatible con laptops, tablets y smartphones.",159.90,"Electrónicos","SunCharge","PowerFlex 25","Negro",0.8,"28x20x3 cm","Silicio monocristalino",24,"A+++","Bajo",9.0,"https://images.unsplash.com/photo-1593941707882-a5bac6861d75?w=400",35,8,120
"Botella Térmica Inteligente","Botella térmica con sensor de temperatura y recordatorio de hidratación vía app. Acero inoxidable reciclado.",89.50,"Hogar","AquaTech","SmartBottle","Azul Océano",0.45,"26x7x7 cm","Acero inoxidable reciclado",24,"","Bajo",7.5,"https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400",100,20,500
"Maceta Inteligente IoT","Maceta con sensores de humedad, luz y nutrientes. Control vía app para cuidado automatizado de plantas.",125.00,"Hogar","GreenTech","PlantCare Pro","Blanco",1.5,"25x25x30 cm","Bioplástico",12,"","Bajo",8.2,"https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400",45,12,200
"Lámpara Solar LED Jardín","Lámpara solar decorativa para jardín con LEDs de alta eficiencia. Resistente al agua y cambio de colores.",75.00,"Hogar","SolarLights","Garden Mood","Multicolor",0.6,"15x15x35 cm","Acero inoxidable",18,"A++","Bajo",8.0,"https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=400",80,15,400
"Teclado Mecánico Bambú","Teclado mecánico gaming con teclas de bambú y retroiluminación RGB eficiente energéticamente.",189.00,"Electrónicos","EcoKeys","Bamboo Gamer","Marrón",1.1,"43x13x3 cm","Bambú y aluminio",24,"A+","Bajo",7.6,"https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=400",30,8,100
"Mouse Inalámbrico Bambú","Mouse ergonómico inalámbrico fabricado con bambú sostenible. Batería recargable de larga duración.",65.00,"Electrónicos","EcoKeys","Bamboo Click","Marrón Natural",0.15,"11x6x3 cm","Bambú",12,"","Bajo",7.2,"https://images.unsplash.com/photo-1527814050087-3793815479db?w=400",70,20,300
"Reloj Inteligente Eco","Smartwatch con correa de corcho y carga solar. Monitoreo de salud y fitness avanzado.",299.00,"Electrónicos","EcoTime","Solar Watch","Plata",0.08,"4.4x3.8x1.1 cm","Titanio reciclado",18,"A++","Bajo",8.7,"https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400",25,8,80
"Purificador Aire Plantas","Purificador de aire natural que combina filtros HEPA con plantas purificadoras integradas.",399.99,"Hogar","AirGreen","PlantPure Pro","Verde",5.2,"35x35x60 cm","Madera bambú",24,"A++","Bajo",9.1,"https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=400",20,5,60
"Cocina Solar Portátil","Cocina solar plegable para camping y uso doméstico. Cocina sin electricidad usando energía solar.",450.00,"Hogar","SolarCook","Portable Chef","Plateado",8.5,"60x40x15 cm","Aluminio reflectante",36,"","Bajo",9.5,"https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=400",15,3,50
"Panel Solar Flexible 100W","Panel solar flexible y ligero para RVs, botes y instalaciones móviles. Alta eficiencia energética.",399.00,"Electrónicos","FlexSolar","Flex100","Negro",2.3,"105x54x0.3 cm","Silicio monocristalino",60,"A+++","Bajo",9.3,"https://images.unsplash.com/photo-1509391366360-2e959784a276?w=400",18,4,70
"Compostadora Inteligente","Compostadora eléctrica inteligente que convierte residuos orgánicos en abono en 24 horas.",899.00,"Hogar","CompostTech","Smart Composter","Verde Musgo",15.0,"55x40x65 cm","Acero inoxidable",24,"A+","Bajo",8.9,"https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400",12,2,40
"Silla Ergonómica Bambú","Silla de oficina ergonómica fabricada completamente con bambú sostenible. Diseño moderno y cómodo.",599.00,"Muebles","EcoOffice","Bamboo Chair","Natural",12.5,"65x65x120 cm","Bambú certificado",36,"","Bajo",8.3,"https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400",25,6,80
"Escritorio Pie Regulable","Escritorio de pie con altura regulable, fabricado con madera certificada FSC y mecanismo eficiente.",799.00,"Muebles","EcoOffice","StandDesk Pro","Roble Natural",25.0,"120x60x72-120 cm","Madera FSC",36,"","Bajo",7.9,"https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400",15,4,50
"Kit Jardín Vertical","Kit completo para crear jardín vertical en espacios pequeños. Incluye sistema de riego automático.",189.99,"Hogar","VerticalGreen","Urban Garden","Verde",8.0,"100x20x150 cm","Plástico reciclado",12,"","Bajo",8.4,"https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400",30,8,120
"Ventilador Techo Solar","Ventilador de techo con panel solar integrado. Funciona sin conexión eléctrica durante el día.",350.00,"Hogar","SolarBreeze","Ceiling Pro","Blanco",4.5,"132x132x35 cm","ABS reciclado",24,"A+++","Bajo",8.6,"https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400",20,5,60
"Termo Solar 300L","Termo solar para agua caliente sanitaria. Sistema de circulación natural, alta eficiencia.",1299.00,"Hogar","SolarHeat","Termo300","Azul",45.0,"150x60x60 cm","Acero galvanizado",60,"A+++","Bajo",9.4,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=400",8,2,25
